atributo,importancia
categorical__tracado_via_Reta;Desvio Temporário;Em Obras;Ponte,0.0
categorical__tracado_via_Retorno Regulamentado;Declive;Reta,0.0
categorical__tracado_via_Reta;Em Obras,0.0
categorical__tracado_via_Reta;Em Obras;Aclive,0.0
categorical__tracado_via_Reta;Em Obras;Declive,0.0
categorical__tracado_via_Reta;Em Obras;Declive;Interseção de Vias,0.0
categorical__tracado_via_Reta;Em Obras;Declive;Ponte,0.0
categorical__tracado_via_Reta;Em Obras;Desvio Temporário,0.0
categorical__tracado_via_Reta;Em Obras;Desvio Temporário;Ponte,0.0
categorical__tracado_via_Reta;Em Obras;Interseção de Vias,0.0
categorical__tracado_via_Reta;Em Obras;Interseção de Vias;Aclive,0.0
categorical__tracado_via_Reta;Em Obras;Ponte,0.0
categorical__tracado_via_Reta;Declive;Em Obras,0.0
categorical__tracado_via_Reta;Declive;Desvio Temporário,0.0
categorical__tracado_via_Reta;Declive,0.0
categorical__tracado_via_Reta;Aclive;Viaduto;Em Obras,0.0
categorical__tracado_via_Ponte;Desvio Temporário;Em Obras;Reta,0.0
categorical__tracado_via_Ponte;Desvio Temporário;Reta,0.0
categorical__tracado_via_Ponte;Em Obras;Desvio Temporário,0.0
categorical__tracado_via_Ponte;Em Obras;Reta,0.0
categorical__tracado_via_Ponte;Em Obras;Reta;Desvio Temporário,0.0
categorical__tracado_via_Ponte;Reta,0.0
categorical__tracado_via_Ponte;Reta;Aclive,0.0
categorical__tracado_via_Declive;Curva;Interseção de Vias;Rotatória,0.0
categorical__tracado_via_Ponte;Reta;Em Obras,0.0
categorical__tracado_via_Ponte;Viaduto;Reta,0.0
categorical__tracado_via_Reta;Aclive,0.0
categorical__tracado_via_Reta;Aclive;Desvio Temporário,0.0
categorical__tracado_via_Reta;Aclive;Em Obras,0.0
categorical__tracado_via_Reta;Aclive;Interseção de Vias,0.0
categorical__tracado_via_Reta;Aclive;Interseção de Vias;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Aclive;Ponte,0.0
